Manufacturer,Year,Disengagement,Disengagement_main,Disengagement_first_time_flier,Disengagement_Driverless,Mileage,Mileage_main,Mileage_first_time_flier,Mileage_Driverless,Collision,Disengagement_per_Mile,Collision_per_Mile,Disengagement_if_capable_without_driver_per_Mile,Disengagement_if_not_capable_without_driver_per_Mile,Disengagement_if_driverless_per_Mile,Disengagement_if_initiated_by_human_per_Mile,Disengagement_if_initiated_by_AV_per_Mile,without_a_driver_=_Yes,without_a_driver_=_No,initiated_by_Human,initiated_by_AV,Collision in manual mode per Mile,Collision in Autonomous mode per Mile,Collision if damage is none per Mile,Collision if damaged per Mile,Collision if no injury per Mile,Collision if injury per Mile,Collision if not at fault per Mile,Collision if at fault per Mile,Collision if other human not involved per Mile,Collision if other human involved per Mile,Collision if rear per Mile,Collision if front per Mile,Collision if sides per Mile,Collision if stopped per Mile,Collision if moving per Mile,Disengagement if street per Mile,Disengagement if freeway per Mile,Disengagement if highway per Mile,Street,Freeway,Highway,Rural Road,Parking Facility,mode1_manual,mode1_auto,mode1_auto_disengaged,mode2_manual,mode2_auto,damage1_none,damage1_minor,damage1_mod,damage1_major,damage2_none,damage2_damaged,injury2_no_injury,injury2_minor_AV,injury2_minor_Human,injury3_no_injury,injury3_injured,fault2_not_at_fault,fault2_at_fault,involed2_none,involed2_Human,contact2_none,contact2_rear,contact2_front,contact2_sides,turn2_stopped,turn2_moving
AImotive,2019,26,26,0,0,6056,6056,0,0,1,0.00429326288,0.0001651254954,0,0.00429326288,-0.000005,0.00429326288,0,0,26,26,0,0.0001651254954,0,0,0.0001651254954,0.0001651254954,0,0.0001651254954,0,0.0001651254954,0,0.0001651254954,0,0,0.0001651254954,0,0,0.00429326288,0,0,26,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
Apollo,2019,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Apple,2019,64,64,0,0,7544,7544,0,0,1,0.008483563097,0.0001325556734,0,0.008483563097,-0.000005,0.001590668081,0.006892895016,0,64,12,52,0.0001325556734,0,0,0.0001325556734,0.0001325556734,0,0.0001325556734,0,0.0001325556734,0,0,0.0001325556734,0,0,0.0001325556734,0.006760339343,0,0.001723223754,51,0,13,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
Argo AI,2019,1,0,1,0,2001.1,0,2001.1,0,0,0.0004997251512,0,0,0.0004997251512,-0.000005,0.0004997251512,0,0,1,1,0,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,-0.0004997251512,0.0004997251512,0,0,1,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Atlas Robotics,2019,9,0,9,0,45.2,0,45.2,0,0,0.1991150442,0,0.1991150442,0,-0.000005,0.1991150442,0,9,0,9,0,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,-0.02212389381,0.1769911504,0,0,8,0,0,0,1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Aurora,2019,141,141,0,0,13430,13430,0,0,1,0.0104988831,0.00007446016381,0,0.0104988831,-0.000005,0.006031273269,0.004467609829,0,141,81,60,0.00007446016381,0,0,0.00007446016381,0.00007446016381,0,0.00007446016381,0,0.00007446016381,0,0.00007446016381,0,0,0.00007446016381,0,0.009158600149,0.0005956813105,0.0007446016381,123,8,10,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
AutoX,2019,3,3,0,0,32054,32054,0,0,0,0.00009359206339,0,0,0.00009359206339,-0.000005,0.00009359206339,0,0,3,3,0,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,-0.00003119735446,0.00009359206339,0,0,3,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Baidu,2019,6,6,0,0,108300,108300,0,0,0,0.00005540166205,0,0,0.00005540166205,-0.000005,0.00003693444137,0.00001846722068,0,6,4,2,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,-0.000009233610342,0.00005540166205,0,0,6,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
BMW,2019,8,8,0,0,22,22,0,0,0,0.3636363636,0,0.3636363636,0,-0.000005,0,0.3636363636,8,0,0,8,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,-0.04545454545,0,0,0,0,0,0,8,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Box Bot,2019,65,0,65,0,26.1,0,26.1,0,0,2.490421456,0,2.490421456,0,-0.000005,2.490421456,0,65,0,65,0,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,-0.03831417625,2.490421456,0,0,65,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
